term_str,n,n_chars,p,i,n_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,p2,h,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
harry,17321,5,0.015654542628148353,5.997274831265652,8,NNP,0,harri,harri,harry,0.5936932305055699,0.09388459449876937,1,0,0,0,0,1,0,1,0,0,-1
professor,1962,9,0.0017732355312295518,9.13940010873638,6,NNP,0,professor,professor,profess,0.06724935732647815,0.01620630900693458,0,0,0,0,0,0,1,0,0,1,1
don,1172,3,0.001059241611927133,9.88275258053337,4,NN,1,don,don,don,0.04017137960582691,0.0104682227736812,0,0,0,0,0,0,1,0,0,1,1
good,1035,4,0.0009354224132632956,10.062094382568931,4,JJ,0,good,good,good,0.03547557840616967,0.00941230860982568,0,1,0,0,1,0,1,0,1,1,1
black,947,5,0.0008558889133916338,10.190288819487234,5,JJ,0,black,black,black,0.03245929734361611,0.008721755224857844,0,0,0,0,0,1,0,1,0,0,-1
death,753,5,0.0006805536977654702,10.521003380283691,4,NN,0,death,death,dea,0.025809768637532135,0.007160107754655077,1,1,1,1,0,1,0,1,1,0,-1
found,608,5,0.0005495041809314818,10.829581921512034,2,NN,0,found,found,found,0.020839760068551844,0.005950900543610854,0,0,0,0,1,0,1,0,0,1,1
ministry,580,8,0.0005241980673359531,10.897600344940685,2,NNP,0,ministri,ministri,min,0.019880034275921166,0.005712501039417523,0,0,0,0,1,0,1,0,0,1,1
boy,540,3,0.0004880464764851977,11.00069383790479,4,NN,0,boy,boy,boy,0.018508997429305913,0.005368849866481859,0,0,1,0,0,1,0,0,0,0,-1
wizard,482,6,0.0004356266697516024,11.164620098725658,3,NN,0,wizard,wizard,wizard,0.016520994001713796,0.004863606272649665,0,1,0,0,0,0,1,0,1,0,1
moody,477,5,0.000431107720895258,11.179663978950108,3,NNP,0,moodi,moodi,moody,0.01634961439588689,0.004819639458339992,1,0,0,0,0,1,0,1,0,0,-1
fell,459,4,0.0004148395050124181,11.235159091541812,2,VBD,0,fell,fell,fel,0.015732647814910027,0.004660787836270974,0,0,0,0,0,1,0,1,0,0,-1
